transitions (M),memory(MB),memory(MB),memory(GB),memory(GB)
0.01,95.9299584,90.492928,0.095929958,0.090492928
0.02,99.6540416,94.5831936,0.099654042,0.094583194
0.03,103.653376,98.4129536,0.103653376,0.098412954
0.04,107.2996352,102.2615552,0.107299635,0.102261555
0.05,111.3473024,106.3337984,0.111347302,0.106333798
0.06,114.7518976,109.879296,0.114751898,0.109879296
0.07,118.0418048,113.1323392,0.118041805,0.113132339
0.08,121.106432,116.7941632,0.121106432,0.116794163
0.09,123.928576,120.049664,0.123928576,0.120049664
0.1,127.6870656,123.3911808,0.127687066,0.123391181
0.11,132.4163072,126.9506048,0.132416307,0.126950605
0.12,135.4088448,131.5332096,0.135408845,0.13153321
0.13,138.3227392,134.656,0.138322739,0.134656
0.14,141.1039232,137.351168,0.141103923,0.137351168
0.15,144.1472512,140.087296,0.144147251,0.140087296
0.16,147.341312,142.9356544,0.147341312,0.142935654
0.17,150.2846976,145.678336,0.150284698,0.145678336
0.18,152.8266752,148.4382208,0.152826675,0.148438221
0.19,155.52512,151.5421696,0.15552512,0.15154217
0.2,158.6814976,154.2750208,0.158681498,0.154275021
0.21,161.1481088,157.0701312,0.161148109,0.157070131
0.22,163.7064704,160.3469312,0.16370647,0.160346931
0.23,168.7896064,163.3214464,0.168789606,0.163321446
0.24,171.7403648,168.7339008,0.171740365,0.168733901
0.25,174.3118336,171.6625408,0.174311834,0.171662541
0.26,177.0520576,174.7058688,0.177052058,0.174705869
0.27,179.7824512,177.7975296,0.179782451,0.17779753
0.28,182.4800768,180.4066816,0.182480077,0.180406682
0.29,185.401344,183.001088,0.185401344,0.183001088
0.3,187.977728,185.585664,0.187977728,0.185585664
0.31,190.7687424,188.0784896,0.190768742,0.18807849
0.32,193.654784,190.4984064,0.193654784,0.190498406
0.33,196.7497216,193.163264,0.196749722,0.193163264
0.34,198.8837376,195.8977536,0.198883738,0.195897754
0.35,201.674752,198.6265088,0.201674752,0.198626509
0.36,204.6746624,201.3782016,0.204674662,0.201378202
0.37,207.1175168,204.3846656,0.207117517,0.204384666
0.38,209.4972928,207.572992,0.209497293,0.207572992
0.39,212.4931072,210.3001088,0.212493107,0.210300109
0.4,215.0735872,213.6481792,0.215073587,0.213648179
0.41,217.4615552,216.502272,0.217461555,0.216502272
0.42,220.4786688,218.8566528,0.220478669,0.218856653
0.43,222.9280768,221.499392,0.222928077,0.221499392
0.44,225.1554816,223.8889984,0.225155482,0.223888998
0.45,227.9620608,225.8919424,0.227962061,0.225891942
0.46,230.387712,228.7927296,0.230387712,0.22879273
0.47,233.0157056,231.374848,0.233015706,0.231374848
0.48,236.3613184,233.828352,0.236361318,0.233828352
0.49,242.3652352,236.8954368,0.242365235,0.236895437
0.5,244.8891904,241.2118016,0.24488919,0.241211802
0.51,247.312384,246.6095104,0.247312384,0.24660951
0.52,249.7806336,249.4406656,0.249780634,0.249440666
0.53,252.5478912,252.1595904,0.252547891,0.25215959
0.54,255.0980608,255.0366208,0.255098061,0.255036621
0.55,257.4147584,258.0242432,0.257414758,0.258024243
0.56,260.0747008,260.3769856,0.260074701,0.260376986
0.57,262.6125824,262.6707456,0.262612582,0.262670746
0.58,265.2930048,265.0251264,0.265293005,0.265025126
0.59,267.2279552,267.513856,0.267227955,0.267513856
0.6,270.2188544,270.0050432,0.270218854,0.270005043
0.61,272.842752,272.2480128,0.272842752,0.272248013
0.62,275.1430656,275.2946176,0.275143066,0.275294618
0.63,277.9168768,277.7366528,0.277916877,0.277736653
0.64,280.3982336,280.2876416,0.280398234,0.280287642
0.65,282.7288576,283.439104,0.282728858,0.283439104
0.66,285.5124992,286.2014464,0.285512499,0.286201446
0.67,287.9537152,288.862208,0.287953715,0.288862208
0.68,290.9372416,291.6401152,0.290937242,0.291640115
0.69,292.9885184,294.641664,0.292988518,0.294641664
0.7,295.411712,297.6186368,0.295411712,0.297618637
0.71,297.9119104,300.3392,0.29791191,0.3003392
0.72,300.1606144,302.22336,0.300160614,0.30222336
0.73,302.87872,304.4687872,0.30287872,0.304468787
0.74,305.3551616,306.8018688,0.305355162,0.306801869
0.75,307.3908736,308.6974976,0.307390874,0.308697498
0.76,310.059008,311.648256,0.310059008,0.311648256
0.77,312.459264,314.2148096,0.312459264,0.31421481
0.78,314.712064,316.768256,0.314712064,0.316768256
0.79,317.4801408,319.8976,0.317480141,0.3198976
0.8,319.7779968,322.285568,0.319777997,0.322285568
0.81,322.3601152,324.9692672,0.322360115,0.324969267
0.82,324.8111616,327.6562432,0.324811162,0.327656243
0.83,327.0500352,330.3923712,0.327050035,0.330392371
0.84,329.211904,332.5591552,0.329211904,0.332559155
0.85,331.7735424,335.0028288,0.331773542,0.335002829
0.86,334.2721024,337.1270144,0.334272102,0.337127014
0.87,336.4913152,339.4379776,0.336491315,0.339437978
0.88,338.980864,341.7735168,0.338980864,0.341773517
0.89,341.856256,344.1483776,0.341856256,0.344148378
0.9,343.8362624,346.742784,0.343836262,0.346742784
0.91,346.3159808,349.581312,0.346315981,0.349581312
0.92,348.8841728,352.186368,0.348884173,0.352186368
0.93,351.0214656,354.7865088,0.351021466,0.354786509
