transition(MB),memory(MB),memory(MB),memory(GB),memory(GB)
0.01,91.8151168,93.1356672,0.091815117,0.093135667
0.02,92.7301632,94.121984,0.092730163,0.094121984
0.03,93.2356096,94.777344,0.09323561,0.094777344
0.04,94.0171264,95.5342848,0.094017126,0.095534285
0.05,94.9354496,96.5664768,0.09493545,0.096566477
0.06,95.4228736,97.2464128,0.095422874,0.097246413
0.07,96.1896448,98.004992,0.096189645,0.098004992
0.08,96.9637888,98.865152,0.096963789,0.098865152
0.09,97.918976,99.4279424,0.097918976,0.099427942
0.1,98.4686592,100.5789184,0.098468659,0.100578918
0.11,99.0560256,100.1168896,0.099056026,0.10011689
0.12,99.6532224,100.7517696,0.099653222,0.10075177
0.13,100.327424,101.4276096,0.100327424,0.10142761
0.14,100.80256,102.0993536,0.10080256,0.102099354
0.15,101.3571584,102.8554752,0.101357158,0.102855475
0.16,102.0125184,103.579648,0.102012518,0.103579648
0.17,102.5712128,104.2587648,0.102571213,0.104258765
0.18,103.1315456,105.0394624,0.103131546,0.105039462
0.19,103.3658368,105.8537472,0.103365837,0.105853747
0.2,103.8925824,107.3790976,0.103892582,0.107379098
0.21,104.4742144,108.0762368,0.104474214,0.108076237
0.22,105.0107904,107.880448,0.10501079,0.107880448
0.23,105.5367168,108.0623104,0.105536717,0.10806231
0.24,106.0708352,108.7045632,0.106070835,0.108704563
0.25,106.6221568,109.305856,0.106622157,0.109305856
0.26,106.786816,109.9882496,0.106786816,0.10998825
0.27,107.3135616,110.587904,0.107313562,0.110587904
0.28,107.6068352,111.2096768,0.107606835,0.111209677
0.29,107.986944,111.9903744,0.107986944,0.111990374
0.3,108.4366848,112.6219776,0.108436685,0.112621978
0.31,108.883968,113.266688,0.108883968,0.113266688
0.32,109.8530816,113.9236864,0.109853082,0.113923686
0.33,110.4764928,114.274304,0.110476493,0.114274304
0.34,111.153152,114.7215872,0.111153152,0.114721587
0.35,111.8806016,115.2548864,0.111880602,0.115254886
0.36,112.5031936,115.7316608,0.112503194,0.115731661
0.37,113.164288,116.2928128,0.113164288,0.116292813
0.38,113.8417664,116.875264,0.113841766,0.116875264
0.39,114.4209408,117.6567808,0.114420941,0.117656781
0.4,116.5647872,118.4858112,0.116564787,0.118485811
0.41,117.0341888,119.0797312,0.117034189,0.119079731
0.42,117.506048,119.8055424,0.117506048,0.119805542
0.43,117.9680768,120.7713792,0.117968077,0.120771379
0.44,117.7960448,121.6512,0.117796045,0.1216512
0.45,117.661696,122.1738496,0.117661696,0.12217385
0.46,117.9623424,122.601472,0.117962342,0.122601472
0.47,118.5595392,122.9070336,0.118559539,0.122907034
0.48,119.1124992,123.3731584,0.119112499,0.123373158
0.49,119.656448,123.9990272,0.119656448,0.123999027
0.5,120.1512448,124.7821824,0.120151245,0.124782182
0.51,120.6157312,125.3810176,0.120615731,0.125381018
