transitions,memory(MB),memory(MB),memory(GB),memory(GB)
0.01,91.803648,93.5133184,0.091803648,0.093513318
0.02,92.6982144,94.5250304,0.092698214,0.09452503
0.03,93.3429248,95.10912,0.093342925,0.09510912
0.04,93.9466752,95.9250432,0.093946675,0.095925043
0.05,94.8895744,97.0358784,0.094889574,0.097035878
0.06,95.563776,97.681408,0.095563776,0.097681408
0.07,96.1241088,98.4489984,0.096124109,0.098448998
0.08,96.9375744,99.28704,0.096937574,0.09928704
0.09,97.9296256,100.3257856,0.097929626,0.100325786
0.1,98.44736,101.0229248,0.09844736,0.101022925
0.11,99.1903744,100.6288896,0.099190374,0.10062889
0.12,99.8694912,101.367808,0.099869491,0.101367808
0.13,100.6665728,102.1722624,0.100666573,0.102172262
0.14,101.179392,102.9070848,0.101179392,0.102907085
0.15,101.5046144,103.4715136,0.101504614,0.103471514
0.16,102.0575744,104.2055168,0.102057574,0.104205517
0.17,102.6555904,104.992768,0.10265559,0.104992768
0.18,103.1356416,105.6186368,0.103135642,0.105618637
0.19,103.481344,107.3545216,0.103481344,0.107354522
0.2,104.0416768,107.6944896,0.104041677,0.10769449
0.21,104.5561344,108.8487424,0.104556134,0.108848742
0.22,105.0820608,108.2261504,0.105082061,0.10822615
0.23,105.4728192,108.711936,0.105472819,0.108711936
0.24,105.8185216,109.3615616,0.105818522,0.109361562
0.25,106.1453824,110.0234752,0.106145382,0.110023475
0.26,106.6590208,110.5125376,0.106659021,0.110512538
0.27,107.3094656,111.2014848,0.107309466,0.111201485
0.28,107.7714944,112.2459648,0.107771494,0.112245965
0.29,108.3981824,112.7448576,0.108398182,0.112744858
0.3,109.0486272,113.557504,0.109048627,0.113557504
0.31,109.6163328,114.434048,0.109616333,0.114434048
0.32,110.4142336,115.7668864,0.110414234,0.115766886
0.33,111.1105536,115.3318912,0.111110554,0.115331891
0.34,111.7732864,115.843072,0.111773286,0.115843072
0.35,112.467968,116.2067968,0.112467968,0.116206797
0.36,113.053696,116.6655488,0.113053696,0.116665549
0.37,113.70496,117.3102592,0.11370496,0.117310259
0.38,114.36032,118.0770304,0.11436032,0.11807703
0.39,116.5500416,118.8061184,0.116550042,0.118806118
0.4,116.7212544,119.3525248,0.116721254,0.119352525
0.41,116.9440768,121.2194816,0.116944077,0.121219482
0.42,117.5216128,121.9518464,0.117521613,0.121951846
0.43,117.6305664,122.4966144,0.117630566,0.122496614
0.44,117.8353664,122.4720384,0.117835366,0.122472038
0.45,118.4079872,123.0217216,0.118407987,0.123021722
0.46,118.9257216,123.498496,0.118925722,0.123498496
0.47,119.394304,124.010496,0.119394304,0.124010496
0.48,119.4647552,124.7412224,0.119464755,0.124741222
0.49,120.008704,125.2171776,0.120008704,0.125217178
0.5,120.4330496,126.0044288,0.12043305,0.126004429
0.51,120.918016,126.70976,0.120918016,0.12670976
0.52,121.3702144,127.2692736,0.121370214,0.127269274
0.53,121.8387968,128.0417792,0.121838797,0.128041779
0.54,122.2713344,128.9838592,0.122271334,0.128983859
0.55,122.8767232,128.5390336,0.122876723,0.128539034
0.56,123.2830464,129.1476992,0.123283046,0.129147699
0.57,123.8884352,129.5966208,0.123888435,0.129596621
0.58,124.4602368,130.3486464,0.124460237,0.130348646
0.59,125.0951168,130.9671424,0.125095117,0.130967142
